GO:0000001	mitochondrion inheritance
GO:0000712	resolution of meiotic recombination intermediates
GO:0000713	meiotic heteroduplex formation
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0000718	nucleotide-excision repair, DNA damage removal
GO:0000719	photoreactive repair
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000726	non-recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000728	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000732	strand displacement
GO:0000733	DNA strand renaturation
GO:0000734	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	removal of nonhomologous ends
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000740	nuclear membrane fusion
GO:0000741	karyogamy
GO:0000742	karyogamy involved in conjugation with cellular fusion
GO:0000743	nuclear migration involved in conjugation with cellular fusion
GO:0000744	karyogamy involved in conjugation with mutual genetic exchange
GO:0000745	nuclear migration involved in conjugation with mutual genetic exchange
GO:0000746	conjugation
GO:0000747	conjugation with cellular fusion
GO:0000748	conjugation with mutual genetic exchange
GO:0000749	response to pheromone involved in conjugation with cellular fusion
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	cell cycle arrest in response to pheromone
GO:0000752	agglutination involved in conjugation with cellular fusion
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	cytogamy
GO:0000756	response to pheromone involved in conjugation with mutual genetic exchange
GO:0000760	adaptation to pheromone involved in conjugation with mutual genetic exchange
GO:0000767	cell morphogenesis involved in conjugation
GO:0000768	syncytium formation by plasma membrane fusion
GO:0000769	syncytium formation by mitosis without cytokinesis
GO:0000770	peptide pheromone export
GO:0000771	agglutination involved in conjugation
GO:0000819	sister chromatid segregation
GO:0000820	regulation of glutamine family amino acid metabolic process
GO:0000821	regulation of arginine metabolic process
GO:0000902	cell morphogenesis
GO:0000903	regulation of cell shape during vegetative growth phase
GO:0000904	cell morphogenesis involved in differentiation
GO:0000905	sporocarp development involved in asexual reproduction
GO:0000909	sporocarp development involved in sexual reproduction
GO:0000910	cytokinesis
GO:0000911	cytokinesis by cell plate formation
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
GO:0000913	preprophase band assembly
GO:0000914	phragmoplast assembly
GO:0000915	cytokinesis, actomyosin contractile ring assembly
GO:0000916	actomyosin contractile ring contraction
GO:0000917	barrier septum assembly
GO:0000918	barrier septum site selection
GO:0000919	cell plate assembly
GO:0000920	cytokinetic cell separation
GO:0000921	septin ring assembly
GO:0000947	amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000949	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000950	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000951	methionine catabolic process to 3-methylthiopropanol
GO:0000955	amino acid catabolic process via Ehrlich pathway
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000960	regulation of mitochondrial RNA catabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000963	mitochondrial RNA processing
GO:0000964	mitochondrial RNA 5'-end processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000966	RNA 5'-end processing
GO:0000967	rRNA 5'-end processing
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000999	RNA polymerase III type 1 promoter transcriptional preinitiation complex assembly
GO:0001009	transcription from RNA polymerase III type 2 promoter
GO:0001015	snoRNA transcription from an RNA polymerase II promoter
GO:0001021	RNA polymerase III type 2 promoter transcriptional preinitiation complex assembly
GO:0001022	transcription initiation from RNA polymerase III type 1 promoter
GO:0001023	transcription initiation from RNA polymerase III type 2 promoter
GO:0001041	transcription from a RNA polymerase III hybrid type promoter
GO:0001079	nitrogen catabolite regulation of transcription from RNA polymerase II promoter
GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter
GO:0001100	negative regulation of exit from mitosis
GO:0001101	response to acid
GO:0001109	promoter clearance during DNA-dependent transcription
GO:0001111	promoter clearance from RNA polymerase II promoter
GO:0001112	DNA-dependent transcriptional open complex formation
GO:0001113	transcriptional open complex formation at RNA polymerase II promoter
GO:0001120	protein-DNA complex remodeling
GO:0001121	transcription from bacterial-type RNA polymerase promoter
GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter
GO:0001124	transcription elongation from bacterial-type RNA polymerase promoter
GO:0001171	reverse transcription
GO:0001172	transcription, RNA-dependent
GO:0001173	DNA-dependent transcriptional start site selection
GO:0001174	transcriptional start site selection at RNA polymerase II promoter
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter
GO:0001180	transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001185	termination of RNA polymerase I transcription from promoter for nuclear large rRNA transcript
GO:0001188	RNA polymerase I transcriptional preinitiation complex assembly
GO:0001189	RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript
GO:0001192	maintenance of transcriptional fidelity during DNA-dependent transcription elongation
GO:0001193	maintenance of transcriptional fidelity during DNA-dependent transcription elongation from RNA polymerase II promoter
GO:0001195	maintenance of transcriptional fidelity during DNA-dependent transcription elongation from RNA polymerase III promoter
GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001197	positive regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001207	histone displacement
GO:0001208	histone H2A-H2B dimer displacement
GO:0001300	chronological cell aging
GO:0001301	progressive alteration of chromatin involved in cell aging
GO:0001302	replicative cell aging
GO:0001304	progressive alteration of chromatin involved in replicative cell aging
GO:0001306	age-dependent response to oxidative stress
GO:0001308	negative regulation of chromatin silencing involved in replicative cell aging
GO:0001309	age-dependent telomere shortening
GO:0001315	age-dependent response to reactive oxygen species
GO:0001316	age-dependent response to reactive oxygen species involved in replicative cell aging
GO:0001317	accumulation of oxidatively modified proteins involved in replicative cell aging
GO:0001319	inheritance of oxidatively modified proteins involved in replicative cell aging
GO:0001320	age-dependent response to reactive oxygen species involved in chronological cell aging
GO:0001321	age-dependent general metabolic decline involved in replicative cell aging
GO:0001322	age-dependent response to oxidative stress involved in replicative cell aging
GO:0001323	age-dependent general metabolic decline involved in chronological cell aging
GO:0001324	age-dependent response to oxidative stress involved in chronological cell aging
GO:0001402	signal transduction involved in filamentous growth
GO:0001403	invasive growth in response to glucose limitation
GO:0001407	glycerophosphodiester transport
GO:0001408	guanine nucleotide transport
GO:0001410	chlamydospore formation
GO:0001501	skeletal system development
GO:0001502	cartilage condensation
GO:0001503	ossification
GO:0001504	neurotransmitter uptake
GO:0001505	regulation of neurotransmitter levels
GO:0001507	acetylcholine catabolic process in synaptic cleft
GO:0001508	regulation of action potential
GO:0001510	RNA methylation
GO:0001514	selenocysteine incorporation
GO:0001516	prostaglandin biosynthetic process
GO:0001519	peptide amidation
GO:0001522	pseudouridine synthesis
GO:0001523	retinoid metabolic process
GO:0001525	angiogenesis
GO:0001539	ciliary or flagellar motility
GO:0001541	ovarian follicle development
GO:0001542	ovulation from ovarian follicle
GO:0001543	ovarian follicle rupture
GO:0001544	initiation of primordial ovarian follicle growth
GO:0001545	primary ovarian follicle growth
GO:0001546	preantral ovarian follicle growth
GO:0001547	antral ovarian follicle growth
GO:0001550	ovarian cumulus expansion
GO:0001552	ovarian follicle atresia
GO:0001553	luteinization
GO:0001554	luteolysis
GO:0001555	oocyte growth
GO:0001556	oocyte maturation
GO:0001558	regulation of cell growth
GO:0001560	regulation of cell growth by extracellular stimulus
GO:0001561	fatty acid alpha-oxidation
GO:0001562	response to protozoan
GO:0001568	blood vessel development
GO:0001569	patterning of blood vessels
GO:0001570	vasculogenesis
GO:0001573	ganglioside metabolic process
GO:0001574	ganglioside biosynthetic process
GO:0001575	globoside metabolic process
GO:0001576	globoside biosynthetic process
GO:0001578	microtubule bundle formation
GO:0001579	medium-chain fatty acid transport
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste
GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001649	osteoblast differentiation
GO:0001654	eye development
GO:0001655	urogenital system development
GO:0001656	metanephros development
GO:0001657	ureteric bud development
GO:0001658	branching involved in ureteric bud morphogenesis
GO:0001659	temperature homeostasis
GO:0001660	fever generation
GO:0001661	conditioned taste aversion
GO:0001662	behavioral fear response
GO:0001666	response to hypoxia
GO:0001667	ameboidal cell migration
GO:0001672	regulation of chromatin assembly or disassembly
GO:0001675	acrosome assembly
GO:0001676	long-chain fatty acid metabolic process
GO:0001678	cellular glucose homeostasis
GO:0001680	tRNA 3'-terminal CCA addition
GO:0001682	tRNA 5'-leader removal
GO:0001692	histamine metabolic process
GO:0001694	histamine biosynthetic process
GO:0001696	gastric acid secretion
GO:0001697	histamine-induced gastric acid secretion
GO:0001698	gastrin-induced gastric acid secretion
GO:0001700	embryonic development via the syncytial blastoderm
GO:0001701	in utero embryonic development
GO:0001702	gastrulation with mouth forming second
GO:0001703	gastrulation with mouth forming first
GO:0001704	formation of primary germ layer
GO:0001705	ectoderm formation
GO:0001706	endoderm formation
GO:0001707	mesoderm formation
GO:0001708	cell fate specification
GO:0001709	cell fate determination
GO:0001710	mesodermal cell fate commitment
GO:0001711	endodermal cell fate commitment
GO:0001712	ectodermal cell fate commitment
GO:0001713	ectodermal cell fate determination
GO:0001714	endodermal cell fate specification
GO:0001715	ectodermal cell fate specification
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of translation initiation complex
GO:0001736	establishment of planar polarity
GO:0001737	establishment of imaginal disc-derived wing hair orientation
GO:0001738	morphogenesis of a polarized epithelium
GO:0001742	oenocyte differentiation
GO:0001743	optic placode formation
GO:0001744	optic lobe placode formation
GO:0001745	compound eye morphogenesis
GO:0001746	Bolwig's organ morphogenesis
GO:0001748	optic lobe placode development
GO:0001751	compound eye photoreceptor cell differentiation
GO:0001752	compound eye photoreceptor fate commitment
GO:0001754	eye photoreceptor cell differentiation
GO:0001755	neural crest cell migration
GO:0001756	somitogenesis
GO:0001757	somite specification
GO:0001759	organ induction
GO:0001762	beta-alanine transport
GO:0001763	morphogenesis of a branching structure
GO:0001764	neuron migration
GO:0001765	membrane raft assembly
GO:0001766	membrane raft polarization
GO:0001767	establishment of lymphocyte polarity
GO:0001768	establishment of T cell polarity
GO:0001770	establishment of natural killer cell polarity
GO:0001771	immunological synapse formation
GO:0001773	myeloid dendritic cell activation
GO:0001774	microglial cell activation
GO:0001775	cell activation
GO:0001776	leukocyte homeostasis
GO:0001777	T cell homeostatic proliferation
GO:0001778	plasma membrane repair
GO:0001779	natural killer cell differentiation
GO:0001780	neutrophil homeostasis
GO:0001781	neutrophil apoptotic process
GO:0001782	B cell homeostasis
GO:0001783	B cell apoptotic process
GO:0001787	natural killer cell proliferation
GO:0001788	antibody-dependent cellular cytotoxicity
GO:0001789	G-protein coupled receptor signaling pathway, coupled to S1P second messenger
GO:0001794	type IIa hypersensitivity
GO:0001796	regulation of type IIa hypersensitivity
GO:0001798	positive regulation of type IIa hypersensitivity
GO:0001803	regulation of type III hypersensitivity
GO:0001805	positive regulation of type III hypersensitivity
GO:0001806	type IV hypersensitivity
GO:0001807	regulation of type IV hypersensitivity
GO:0001808	negative regulation of type IV hypersensitivity
GO:0001809	positive regulation of type IV hypersensitivity
GO:0001810	regulation of type I hypersensitivity
GO:0001811	negative regulation of type I hypersensitivity
GO:0001812	positive regulation of type I hypersensitivity
GO:0001816	cytokine production
GO:0001817	regulation of cytokine production
GO:0001818	negative regulation of cytokine production
GO:0001819	positive regulation of cytokine production
GO:0001820	serotonin secretion
GO:0001821	histamine secretion
GO:0001822	kidney development
GO:0001823	mesonephros development
GO:0001824	blastocyst development
GO:0001825	blastocyst formation
GO:0001826	inner cell mass cell differentiation
GO:0001827	inner cell mass cell fate commitment
GO:0001828	inner cell mass cellular morphogenesis
GO:0001829	trophectodermal cell differentiation
GO:0001830	trophectodermal cell fate commitment
GO:0001831	trophectodermal cellular morphogenesis
GO:0001832	blastocyst growth
GO:0001833	inner cell mass cell proliferation
GO:0001834	trophectodermal cell proliferation
GO:0001835	blastocyst hatching
GO:0001836	release of cytochrome c from mitochondria
GO:0001837	epithelial to mesenchymal transition
GO:0001838	embryonic epithelial tube formation
GO:0001839	neural plate morphogenesis
GO:0001840	neural plate development
GO:0001841	neural tube formation
GO:0001842	neural fold formation
GO:0001843	neural tube closure
GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
GO:0001845	phagolysosome assembly
GO:0001865	NK T cell differentiation
GO:0001866	NK T cell proliferation
GO:0001867	complement activation, lectin pathway
GO:0001868	regulation of complement activation, lectin pathway
GO:0001869	negative regulation of complement activation, lectin pathway
GO:0001878	response to yeast
GO:0001879	detection of yeast
GO:0001880	Mullerian duct regression
GO:0001881	receptor recycling
GO:0001885	endothelial cell development
GO:0001886	endothelial cell morphogenesis
GO:0001887	selenium compound metabolic process
GO:0001889	liver development
GO:0001890	placenta development
GO:0001892	embryonic placenta development
GO:0001893	maternal placenta development
GO:0001894	tissue homeostasis
GO:0001895	retina homeostasis
GO:0001896	autolysis
GO:0001897	cytolysis by symbiont of host cells
GO:0001898	regulation of cytolysis by symbiont of host cells
GO:0001899	negative regulation of cytolysis by symbiont of host cells
GO:0001900	positive regulation of cytolysis by symbiont of host cells
GO:0001906	cell killing
GO:0001907	killing by symbiont of host cells
GO:0001909	leukocyte mediated cytotoxicity
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:0001911	negative regulation of leukocyte mediated cytotoxicity
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	T cell mediated cytotoxicity
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0001915	negative regulation of T cell mediated cytotoxicity
GO:0001916	positive regulation of T cell mediated cytotoxicity
GO:0001919	regulation of receptor recycling
GO:0001920	negative regulation of receptor recycling
GO:0001921	positive regulation of receptor recycling
GO:0001922	B-1 B cell homeostasis
GO:0001923	B-1 B cell differentiation
GO:0001927	exocyst assembly
GO:0001928	regulation of exocyst assembly
GO:0001932	regulation of protein phosphorylation
GO:0001933	negative regulation of protein phosphorylation
GO:0001934	positive regulation of protein phosphorylation
GO:0001935	endothelial cell proliferation
GO:0001936	regulation of endothelial cell proliferation
GO:0001937	negative regulation of endothelial cell proliferation
GO:0001938	positive regulation of endothelial cell proliferation
GO:0001941	postsynaptic membrane organization
GO:0001942	hair follicle development
GO:0001944	vasculature development
GO:0001945	lymph vessel development
GO:0001946	lymphangiogenesis
GO:0001947	heart looping
GO:0001949	sebaceous gland cell differentiation
GO:0001951	intestinal D-glucose absorption
GO:0001952	regulation of cell-matrix adhesion
GO:0001953	negative regulation of cell-matrix adhesion
GO:0001954	positive regulation of cell-matrix adhesion
GO:0001955	blood vessel maturation
GO:0001956	positive regulation of neurotransmitter secretion
GO:0001957	intramembranous ossification
GO:0001958	endochondral ossification
GO:0001959	regulation of cytokine-mediated signaling pathway
GO:0001960	negative regulation of cytokine-mediated signaling pathway
GO:0001961	positive regulation of cytokine-mediated signaling pathway
GO:0001963	synaptic transmission, dopaminergic
GO:0001964	startle response
GO:0001966	thigmotaxis
GO:0001967	suckling behavior
GO:0001969	regulation of activation of membrane attack complex
GO:0001970	positive regulation of activation of membrane attack complex
GO:0001971	negative regulation of activation of membrane attack complex
GO:0001973	adenosine receptor signaling pathway
GO:0001974	blood vessel remodeling
GO:0001975	response to amphetamine
GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure
GO:0001977	renal system process involved in regulation of blood volume
GO:0001978	regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback
GO:0001979	regulation of systemic arterial blood pressure by chemoreceptor signaling
GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions
GO:0001982	baroreceptor response to decreased systemic arterial blood pressure
GO:0001983	baroreceptor response to increased systemic arterial blood pressure
GO:0001984	vasodilation of artery involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001985	negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001986	negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure
GO:0001987	vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure
GO:0001988	positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure
GO:0001990	regulation of systemic arterial blood pressure by hormone
GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin
GO:0001992	regulation of systemic arterial blood pressure by vasopressin
GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine
GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine
GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine
GO:0001998	angiotensin mediated vasoconstriction involved in regulation of systemic arterial blood pressure
GO:0001999	renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure
