id	label
0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
0000774	adenyl-nucleotide exchange factor activity
0000810	diacylglycerol diphosphate phosphatase activity
0000822	inositol hexakisphosphate binding
0000823	inositol-1,4,5-trisphosphate 6-kinase activity
0000824	inositol tetrakisphosphate 3-kinase activity
0000825	inositol tetrakisphosphate 6-kinase activity
0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
0000828	inositol hexakisphosphate kinase activity
0000829	inositol heptakisphosphate kinase activity
0000830	inositol hexakisphosphate 4-kinase activity
0000831	inositol hexakisphosphate 6-kinase activity
0000832	inositol hexakisphosphate 5-kinase activity
0000900	translation repressor activity, nucleic acid binding
0000906	6,7-dimethyl-8-ribityllumazine synthase activity
0000907	sulfonate dioxygenase activity
0000908	taurine dioxygenase activity
0000975	regulatory region DNA binding
0000976	transcription regulatory region sequence-specific DNA binding
0000977	RNA polymerase II regulatory region sequence-specific DNA binding
0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding
0000979	RNA polymerase II core promoter sequence-specific DNA binding
0000980	RNA polymerase II distal enhancer sequence-specific DNA binding
0000981	sequence-specific DNA binding RNA polymerase II transcription factor activity
0000982	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity
0000983	RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity
0000984	bacterial-type RNA polymerase regulatory region sequence-specific DNA binding
0000986	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding
0000987	core promoter proximal region sequence-specific DNA binding
0000988	protein binding transcription factor activity
0000989	transcription factor binding transcription factor activity
0000990	core RNA polymerase binding transcription factor activity
0000991	core RNA polymerase II binding transcription factor activity
0000992	polymerase III regulatory region sequence-specific DNA binding
0000993	RNA polymerase II core binding
0000994	RNA polymerase III core binding
0000995	core RNA polymerase III binding transcription factor activity
0000996	core DNA-dependent RNA polymerase binding promoter specificity activity
0000997	mitochondrial RNA polymerase core promoter sequence-specific DNA binding
0001000	bacterial-type RNA polymerase core enzyme binding
0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding
0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding
0001004	RNA polymerase III promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity
0001005	RNA polymerase III type 1 promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity
0001007	RNA polymerase III transcription factor binding transcription factor activity
0001008	RNA polymerase III type 2 promoter sequence-specific DNA binding TFIIIB recruiting transcription factor activity
0001010	sequence-specific DNA binding transcription factor recruiting transcription factor activity
0001011	sequence-specific DNA binding RNA polymerase recruiting transcription factor activity
0001012	RNA polymerase II regulatory region DNA binding
0001013	RNA polymerase I regulatory region DNA binding
0001016	RNA polymerase III regulatory region DNA binding
0001017	bacterial-type RNA polymerase regulatory region DNA binding
0001018	mitochondrial RNA polymerase regulatory region DNA binding
0001025	RNA polymerase III transcription factor binding
0001026	TFIIIB-type transcription factor activity
0001030	RNA polymerase III type 1 promoter DNA binding
0001031	RNA polymerase III type 2 promoter DNA binding
0001032	RNA polymerase III type 3 promoter DNA binding
0001034	sequence-specific DNA binding RNA polymerase III transcription factor activity
0001042	RNA polymerase I core binding
0001044	mitochondrial RNA polymerase regulatory region sequence-specific DNA binding
0001046	core promoter sequence-specific DNA binding
0001047	core promoter binding
0001053	plastid sigma factor activity
0001054	RNA polymerase I activity
0001055	RNA polymerase II activity
0001056	RNA polymerase III activity
0001064	single subunit type RNA polymerase activity
0001065	mitochondrial single subunit type RNA polymerase activity
0001067	regulatory region nucleic acid binding
0001068	transcription regulatory region RNA binding
0001069	regulatory region RNA binding
0001070	RNA binding transcription factor activity
0001071	nucleic acid binding transcription factor activity
0001072	RNA binding transcription antitermination factor activity
0001073	DNA binding transcription antitermination factor activity
0001075	RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly
0001076	RNA polymerase II transcription factor binding transcription factor activity
0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
0001078	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
0001082	RNA polymerase I transcription factor binding transcription factor activity
0001083	RNA polymerase II basal transcription factor binding transcription factor activity
0001084	TFIID-class binding transcription factor activity
0001085	RNA polymerase II transcription factor binding
0001087	TFIIB-class binding transcription factor activity
0001088	TFIIE-class binding transcription factor activity
0001089	TFIIF-class binding transcription factor activity
0001090	TFIIH-class binding transcription factor activity
0001091	RNA polymerase II basal transcription factor binding
0001092	TFIIA-class transcription factor binding
0001093	TFIIB-class transcription factor binding
0001094	TFIID-class transcription factor binding
0001095	TFIIE-class transcription factor binding
0001096	TFIIF-class transcription factor binding
0001097	TFIIH-class transcription factor binding
0001098	basal transcription machinery binding
0001099	basal RNA polymerase II transcription machinery binding
0001102	RNA polymerase II activating transcription factor binding
0001103	RNA polymerase II repressing transcription factor binding
0001104	RNA polymerase II transcription cofactor activity
0001105	RNA polymerase II transcription coactivator activity
0001106	RNA polymerase II transcription corepressor activity
0001108	bacterial-type RNA polymerase holo enzyme binding
0001128	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
0001129	TBP-class protein binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly
0001130	sequence-specific DNA binding bacterial-type RNA polymerase transcription factor activity
0001131	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding transcription factor activity
0001132	TBP-class protein binding RNA polymerase II transcription factor activity
0001133	sequence-specific transcription regulatory region DNA binding RNA polymerase II transcription factor recruiting transcription factor activity
0001134	transcription factor recruiting transcription factor activity
0001135	RNA polymerase II transcription factor recruiting transcription factor activity
0001138	TFIIH-class transcription factor recruiting transcription factor activity
0001139	core RNA polymerase II recruiting transcription factor activity
0001141	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
0001152	RNA polymerase III type 1 promoter sequence-specific DNA binding TFIIIC recruiting transcription factor activity
0001153	RNA polymerase III transcription factor recruiting transcription factor activity
0001155	TFIIIA-class transcription factor binding
0001156	TFIIIC-class transcription factor binding
0001158	enhancer sequence-specific DNA binding
0001159	core promoter proximal region DNA binding
0001161	intronic transcription regulatory region sequence-specific DNA binding
0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
0001163	RNA polymerase I regulatory region sequence-specific DNA binding
0001164	RNA polymerase I CORE element sequence-specific DNA binding
0001165	RNA polymerase I upstream control element sequence-specific DNA binding
0001167	sequence-specific DNA binding RNA polymerase I transcription factor activity
0001168	RNA polymerase I upstream control element sequence-specific DNA binding transcription factor activity
0001169	RNA polymerase I CORE element sequence-specific DNA binding transcription factor activity
0001179	RNA polymerase I transcription factor binding
0001181	core RNA polymerase I binding transcription factor activity
0001186	RNA polymerase I transcription factor recruiting transcription factor activity
0001187	RNA polymerase I CORE element sequence-specific DNA binding transcription factor recruiting transcription factor activity
0001190	RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription
0001191	RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription
0001199	metal ion regulated sequence-specific DNA binding transcription factor activity
0001200	metal ion regulated sequence-specific DNA binding RNA polymerase II transcription factor activity
0001201	metal ion regulated core promoter proximal region sequence-specific DNA binding RNA polymerase II transcription factor activity
0001202	copper ion regulated core promoter proximal region sequence-specific DNA binding RNA polymerase II transcription factor activity
0001205	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
0001206	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
0001216	sequence-specific DNA binding bacterial-type RNA polymerase transcription factor activity involved in positive regulation of transcription
0001217	sequence-specific DNA binding bacterial-type RNA polymerase transcription factor activity involved in negative regulation of transcription
0001221	transcription cofactor binding
0001222	transcription corepressor binding
0001223	transcription coactivator binding
0001224	RNA polymerase II transcription cofactor binding
0001225	RNA polymerase II transcription coactivator binding
0001226	RNA polymerase II transcription corepressor binding
0001227	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription
0001228	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
0001406	glycerophosphodiester transmembrane transporter activity
0001409	guanine nucleotide transmembrane transporter activity
0001515	opioid peptide activity
0001517	N-acetylglucosamine 6-O-sulfotransferase activity
0001530	lipopolysaccharide binding
0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
0001540	beta-amyloid binding
0001565	phorbol ester receptor activity
0001566	non-kinase phorbol ester receptor activity
0001587	Gq/11-coupled serotonin receptor activity
0001588	dopamine neurotransmitter receptor activity, coupled via Gs
0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go
0001594	trace-amine receptor activity
0001595	angiotensin receptor activity
0001596	angiotensin type I receptor activity
0001601	peptide YY receptor activity
0001602	pancreatic polypeptide receptor activity
0001604	urotensin II receptor activity
0001605	adrenomedullin receptor activity
0001607	neuromedin U receptor activity
0001608	G-protein coupled nucleotide receptor activity
0001609	G-protein coupled adenosine receptor activity
0001614	purinergic nucleotide receptor activity
0001616	growth hormone secretagogue receptor activity
0001618	viral receptor activity
0001621	ADP receptor activity
0001626	nociceptin receptor activity
0001631	cysteinyl leukotriene receptor activity
0001632	leukotriene B4 receptor activity
0001635	calcitonin gene-related polypeptide receptor activity
0001637	G-protein coupled chemoattractant receptor activity
0001639	PLC activating G-protein coupled glutamate receptor activity
0001640	adenylate cyclase inhibiting G-protein coupled glutamate receptor activity
0001641	group II metabotropic glutamate receptor activity
0001642	group III metabotropic glutamate receptor activity
0001646	cAMP receptor activity
0001653	peptide receptor activity
0001664	G-protein coupled receptor binding
0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
0001671	ATPase activator activity
0001681	sialate O-acetylesterase activity
0001691	pseudophosphatase activity
0001716	L-amino-acid oxidase activity
0001727	lipid kinase activity
0001729	ceramide kinase activity
0001730	2'-5'-oligoadenylate synthetase activity
0001733	galactosylceramide sulfotransferase activity
0001734	mRNA (N6-adenosine)-methyltransferase activity
0001735	prenylcysteine oxidase activity
0001758	retinal dehydrogenase activity
0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
0001761	beta-alanine transmembrane transporter activity
0001784	phosphotyrosine binding
0001785	prostaglandin J receptor activity
0001786	phosphatidylserine binding
0001791	IgM binding
0001792	polymeric immunoglobulin receptor activity
0001846	opsonin binding
0001847	opsonin receptor activity
0001848	complement binding
0001849	complement component C1q binding
0001850	complement component C3a binding
0001851	complement component C3b binding
0001855	complement component C4b binding
0001856	complement component C5a binding
0001861	complement component C4b receptor activity
0001871	pattern binding
0001872	(1->3)-beta-D-glucan binding
0001873	polysaccharide receptor activity
0001874	(1->3)-beta-D-glucan receptor activity
0001875	lipopolysaccharide receptor activity
0001882	nucleoside binding
0001883	purine nucleoside binding
0001884	pyrimidine nucleoside binding
0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
0001918	farnesylated protein binding
0001948	glycoprotein binding
0001962	alpha-1,3-galactosyltransferase activity
0001965	G-protein alpha-subunit binding
0001968	fibronectin binding
0001972	retinoic acid binding
0002020	protease binding
0002039	p53 binding
0002046	opsin binding
0002054	nucleobase binding
0002055	adenine binding
0002058	uracil binding
0002059	thymine binding
0002060	purine nucleobase binding
0002061	pyrimidine nucleobase binding
0002094	polyprenyltransferase activity
0002113	interleukin-33 binding
0002114	interleukin-33 receptor activity
0002134	UTP binding
0002135	CTP binding
0002151	G-quadruplex RNA binding
0002153	steroid receptor RNA activator RNA binding
0002161	aminoacyl-tRNA editing activity
0002162	dystroglycan binding
0002196	Ser-tRNA(Ala) hydrolase activity
0002935	tRNA (adenine-C2-)-methyltransferase activity
0003674	molecular_function
0003676	nucleic acid binding
0003677	DNA binding
0003678	DNA helicase activity
0003680	AT DNA binding
0003681	bent DNA binding
0003682	chromatin binding
0003684	damaged DNA binding
0003688	DNA replication origin binding
0003689	DNA clamp loader activity
0003690	double-stranded DNA binding
0003691	double-stranded telomeric DNA binding
0003692	left-handed Z-DNA binding
0003693	P-element binding
0003696	satellite DNA binding
0003697	single-stranded DNA binding
0003700	sequence-specific DNA binding transcription factor activity
0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
0003707	steroid hormone receptor activity
0003708	retinoic acid receptor activity
0003712	transcription cofactor activity
0003713	transcription coactivator activity
0003714	transcription corepressor activity
0003720	telomerase activity
0003721	telomeric template RNA reverse transcriptase activity
0003723	RNA binding
0003724	RNA helicase activity
0003725	double-stranded RNA binding
0003726	double-stranded RNA adenosine deaminase activity
0003727	single-stranded RNA binding
0003729	mRNA binding
0003730	mRNA 3'-UTR binding
0003735	structural constituent of ribosome
0003743	translation initiation factor activity
0003746	translation elongation factor activity
0003747	translation release factor activity
0003755	peptidyl-prolyl cis-trans isomerase activity
0003756	protein disulfide isomerase activity
0003774	motor activity
0003777	microtubule motor activity
0003779	actin binding
0003785	actin monomer binding
0003786	actin lateral binding
0003796	lysozyme activity
0003810	protein-glutamine gamma-glutamyltransferase activity
0003823	antigen binding
0003824	catalytic activity
0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
0003826	alpha-ketoacid dehydrogenase activity
0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
0003832	beta-alanyl-dopamine hydrolase activity
0003833	beta-alanyl-dopamine synthase activity
0003834	beta-carotene 15,15'-monooxygenase activity
0003835	beta-galactoside alpha-2,6-sialyltransferase activity
0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
0003837	beta-ureidopropionase activity
0003838	sterol 24-C-methyltransferase activity
0003839	gamma-glutamylcyclotransferase activity
0003840	gamma-glutamyltransferase activity
0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
0003842	1-pyrroline-5-carboxylate dehydrogenase activity
0003843	1,3-beta-D-glucan synthase activity
0003844	1,4-alpha-glucan branching enzyme activity
0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
0003846	2-acylglycerol O-acyltransferase activity
0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
0003849	3-deoxy-7-phosphoheptulonate synthase activity
0003850	2-deoxyglucose-6-phosphatase activity
0003852	2-isopropylmalate synthase activity
0003853	2-methylacyl-CoA dehydrogenase activity
0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
0003855	3-dehydroquinate dehydratase activity
0003856	3-dehydroquinate synthase activity
0003857	3-hydroxyacyl-CoA dehydrogenase activity
0003858	3-hydroxybutyrate dehydrogenase activity
0003859	3-hydroxybutyryl-CoA dehydratase activity
0003860	3-hydroxyisobutyryl-CoA hydrolase activity
0003861	3-isopropylmalate dehydratase activity
0003862	3-isopropylmalate dehydrogenase activity
0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
0003867	4-aminobutyrate transaminase activity
0003868	4-hydroxyphenylpyruvate dioxygenase activity
0003870	5-aminolevulinate synthase activity
0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
0003872	6-phosphofructokinase activity
0003873	6-phosphofructo-2-kinase activity
0003874	6-pyruvoyltetrahydropterin synthase activity
0003875	ADP-ribosylarginine hydrolase activity
0003876	AMP deaminase activity
0003877	ATP adenylyltransferase activity
0003878	ATP citrate synthase activity
0003879	ATP phosphoribosyltransferase activity
0003880	protein C-terminal carboxyl O-methyltransferase activity
0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
0003883	CTP synthase activity
0003884	D-amino-acid oxidase activity
0003885	D-arabinono-1,4-lactone oxidase activity
0003886	DNA (cytosine-5-)-methyltransferase activity
0003887	DNA-directed DNA polymerase activity
0003896	DNA primase activity
0003899	DNA-directed RNA polymerase activity
0003904	deoxyribodipyrimidine photo-lyase activity
0003905	alkylbase DNA N-glycosylase activity
0003906	DNA-(apurinic or apyrimidinic site) lyase activity
0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
0003909	DNA ligase activity
0003910	DNA ligase (ATP) activity
0003911	DNA ligase (NAD+) activity
0003912	DNA nucleotidylexotransferase activity
0003913	DNA photolyase activity
0003914	DNA (6-4) photolyase activity
0003916	DNA topoisomerase activity
0003917	DNA topoisomerase type I activity
0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
0003919	FMN adenylyltransferase activity
0003920	GMP reductase activity
0003921	GMP synthase activity
0003922	GMP synthase (glutamine-hydrolyzing) activity
0003923	GPI-anchor transamidase activity
0003924	GTPase activity
0003933	GTP cyclohydrolase activity
0003934	GTP cyclohydrolase I activity
0003935	GTP cyclohydrolase II activity
0003937	IMP cyclohydrolase activity
0003938	IMP dehydrogenase activity
0003939	L-iditol 2-dehydrogenase activity
0003940	L-iduronidase activity
0003941	L-serine ammonia-lyase activity
0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity
0003943	N-acetylgalactosamine-4-sulfatase activity
0003944	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
0003945	N-acetyllactosamine synthase activity
0003947	(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity
0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
0003950	NAD+ ADP-ribosyltransferase activity
0003951	NAD+ kinase activity
0003952	NAD+ synthase (glutamine-hydrolyzing) activity
0003953	NAD+ nucleosidase activity
0003954	NADH dehydrogenase activity
0003955	NAD(P)H dehydrogenase (quinone) activity
0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
0003957	NAD(P)+ transhydrogenase (B-specific) activity
0003958	NADPH-hemoprotein reductase activity
0003959	NADPH dehydrogenase activity
0003960	NADPH:quinone reductase activity
0003961	O-acetylhomoserine aminocarboxypropyltransferase activity
0003962	cystathionine gamma-synthase activity
0003963	RNA-3'-phosphate cyclase activity
0003964	RNA-directed DNA polymerase activity
0003968	RNA-directed RNA polymerase activity
0003972	RNA ligase (ATP) activity
0003973	(S)-2-hydroxy-acid oxidase activity
0003974	UDP-N-acetylglucosamine 4-epimerase activity
0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
0003977	UDP-N-acetylglucosamine diphosphorylase activity
0003978	UDP-glucose 4-epimerase activity
0003979	UDP-glucose 6-dehydrogenase activity
0003980	UDP-glucose:glycoprotein glucosyltransferase activity
0003983	UTP:glucose-1-phosphate uridylyltransferase activity
0003984	acetolactate synthase activity
0003985	acetyl-CoA C-acetyltransferase activity
0003986	acetyl-CoA hydrolase activity
0003987	acetate-CoA ligase activity
0003988	acetyl-CoA C-acyltransferase activity
0003989	acetyl-CoA carboxylase activity
0003990	acetylcholinesterase activity
0003991	acetylglutamate kinase activity
0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
0003993	acid phosphatase activity
0003994	aconitate hydratase activity
0003995	acyl-CoA dehydrogenase activity
0003996	acyl-CoA ligase activity
0003997	acyl-CoA oxidase activity
0003998	acylphosphatase activity
0003999	adenine phosphoribosyltransferase activity
0004000	adenosine deaminase activity
0004001	adenosine kinase activity
0004003	ATP-dependent DNA helicase activity
0004004	ATP-dependent RNA helicase activity
0004008	copper-exporting ATPase activity
0004012	phospholipid-translocating ATPase activity
0004013	adenosylhomocysteinase activity
0004014	adenosylmethionine decarboxylase activity
0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
0004016	adenylate cyclase activity
0004017	adenylate kinase activity
0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
0004019	adenylosuccinate synthase activity
0004020	adenylylsulfate kinase activity
0004021	L-alanine:2-oxoglutarate aminotransferase activity
0004022	alcohol dehydrogenase (NAD) activity
0004023	alcohol dehydrogenase activity, metal ion-independent
0004024	alcohol dehydrogenase activity, zinc-dependent
0004026	alcohol O-acetyltransferase activity
0004027	alcohol sulfotransferase activity
0004028	3-chloroallyl aldehyde dehydrogenase activity
0004029	aldehyde dehydrogenase (NAD) activity
0004030	aldehyde dehydrogenase [NAD(P)+] activity
0004031	aldehyde oxidase activity
0004032	alditol:NADP+ 1-oxidoreductase activity
0004033	aldo-keto reductase (NADP) activity
0004034	aldose 1-epimerase activity
0004035	alkaline phosphatase activity
0004038	allantoinase activity
0004039	allophanate hydrolase activity
0004040	amidase activity
0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
0004043	L-aminoadipate-semialdehyde dehydrogenase activity
0004044	amidophosphoribosyltransferase activity
0004045	aminoacyl-tRNA hydrolase activity
0004046	aminoacylase activity
0004047	aminomethyltransferase activity
0004048	anthranilate phosphoribosyltransferase activity
0004049	anthranilate synthase activity
0004051	arachidonate 5-lipoxygenase activity
0004052	arachidonate 12-lipoxygenase activity
0004053	arginase activity
0004054	arginine kinase activity
0004055	argininosuccinate synthase activity
0004056	argininosuccinate lyase activity
0004057	arginyltransferase activity
0004058	aromatic-L-amino-acid decarboxylase activity
0004059	aralkylamine N-acetyltransferase activity
0004060	arylamine N-acetyltransferase activity
0004061	arylformamidase activity
0004062	aryl sulfotransferase activity
0004063	aryldialkylphosphatase activity
0004064	arylesterase activity
0004065	arylsulfatase activity
0004066	asparagine synthase (glutamine-hydrolyzing) activity
0004067	asparaginase activity
0004068	aspartate 1-decarboxylase activity
0004069	L-aspartate:2-oxoglutarate aminotransferase activity
0004070	aspartate carbamoyltransferase activity
0004071	aspartate-ammonia ligase activity
0004072	aspartate kinase activity
0004073	aspartate-semialdehyde dehydrogenase activity
0004074	biliverdin reductase activity
0004075	biotin carboxylase activity
0004076	biotin synthase activity
0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
0004078	biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity
0004080	biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity
0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
0004082	bisphosphoglycerate mutase activity
0004084	branched-chain-amino-acid transaminase activity
0004085	butyryl-CoA dehydrogenase activity
0004087	carbamoyl-phosphate synthase (ammonia) activity
0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
0004089	carbonate dehydratase activity
0004090	carbonyl reductase (NADPH) activity
0004092	carnitine O-acetyltransferase activity
0004095	carnitine O-palmitoyltransferase activity
0004096	catalase activity
0004097	catechol oxidase activity
0004098	cerebroside-sulfatase activity
0004099	chitin deacetylase activity
0004100	chitin synthase activity
0004102	choline O-acetyltransferase activity
0004103	choline kinase activity
0004104	cholinesterase activity
0004105	choline-phosphate cytidylyltransferase activity
0004106	chorismate mutase activity
0004107	chorismate synthase activity
0004108	citrate (Si)-synthase activity
0004109	coproporphyrinogen oxidase activity
0004111	creatine kinase activity
0004112	cyclic-nucleotide phosphodiesterase activity
0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
0004115	3',5'-cyclic-AMP phosphodiesterase activity
0004117	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
0004118	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity
0004119	cGMP-inhibited cyclic-nucleotide phosphodiesterase activity
0004121	cystathionine beta-lyase activity
0004122	cystathionine beta-synthase activity
0004123	cystathionine gamma-lyase activity
0004124	cysteine synthase activity
0004125	L-seryl-tRNASec selenium transferase activity
0004126	cytidine deaminase activity
0004127	cytidylate kinase activity
0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
0004129	cytochrome-c oxidase activity
0004130	cytochrome-c peroxidase activity
0004131	cytosine deaminase activity
0004132	dCMP deaminase activity
0004133	glycogen debranching enzyme activity
0004134	4-alpha-glucanotransferase activity
