GO:0000015	phosphopyruvate hydratase complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000817	COMA complex
GO:0000818	nuclear MIS12/MIND complex
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000837	Doa10p ubiquitin ligase complex
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000922	spindle pole
GO:0000923	equatorial microtubule organizing center
GO:0000928	gamma-tubulin small complex, spindle pole body
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000932	cytoplasmic mRNA processing body
GO:0000934	porous cell septum
GO:0000935	barrier septum
GO:0000936	primary cell septum
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000941	condensed nuclear chromosome inner kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000943	retrotransposon nucleocapsid
GO:0000974	Prp19 complex
GO:0001400	mating projection base
GO:0001401	mitochondrial sorting and assembly machinery complex
GO:0001405	presequence translocase-associated import motor
GO:0001411	hyphal tip
GO:0001518	voltage-gated sodium channel complex
GO:0001520	outer dense fiber
GO:0001527	microfibril
GO:0001533	cornified envelope
GO:0001534	radial spoke
GO:0001650	fibrillar center
GO:0001651	dense fibrillar component
GO:0001652	granular component
GO:0001669	acrosomal vesicle
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001739	sex chromatin
GO:0001740	Barr body
GO:0001741	XY body
GO:0001750	photoreceptor outer segment
GO:0001772	immunological synapse
GO:0001891	phagocytic cup
GO:0001917	photoreceptor inner segment
GO:0001931	uropod
GO:0001939	female pronucleus
GO:0001940	male pronucleus
GO:0002079	inner acrosomal membrane
GO:0002080	acrosomal membrane
GO:0002081	outer acrosomal membrane
GO:0002095	caveolar macromolecular signaling complex
GO:0002102	podosome
GO:0002116	semaphorin receptor complex
GO:0002133	polycystin complex
GO:0002139	stereocilia coupling link
GO:0002141	stereocilia ankle link
GO:0002142	stereocilia ankle link complex
GO:0002144	cytosolic tRNA wobble base thiouridylase complex
GO:0002177	manchette
GO:0002178	palmitoyltransferase complex
GO:0002189	ribose phosphate diphosphokinase complex
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex
GO:0002199	zona pellucida receptor complex
GO:0002944	cyclin K-CDK12 complex
GO:0002945	cyclin K-CDK13 complex
GO:0002947	tumor necrosis factor receptor superfamily complex
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005577	fibrinogen complex
GO:0005578	proteinaceous extracellular matrix
GO:0005579	membrane attack complex
GO:0005581	collagen
GO:0005582	collagen type XV
GO:0005583	fibrillar collagen
GO:0005584	collagen type I
GO:0005585	collagen type II
GO:0005586	collagen type III
GO:0005587	collagen type IV
GO:0005588	collagen type V
GO:0005589	collagen type VI
GO:0005590	collagen type VII
GO:0005591	collagen type VIII
GO:0005592	collagen type XI
GO:0005593	FACIT collagen
GO:0005594	collagen type IX
GO:0005595	collagen type XII
GO:0005597	collagen type XVI
GO:0005598	short-chain collagen
GO:0005600	collagen type XIII
GO:0005602	complement component C1 complex
GO:0005604	basement membrane
GO:0005605	basal lamina
GO:0005606	laminin-1 complex
GO:0005607	laminin-2 complex
GO:0005608	laminin-3 complex
GO:0005610	laminin-5 complex
GO:0005614	interstitial matrix
GO:0005615	extracellular space
GO:0005616	larval serum protein complex
GO:0005618	cell wall
GO:0005619	ascospore wall
GO:0005621	cellular bud scar
GO:0005622	intracellular
GO:0005623	cell
GO:0005628	prospore membrane
GO:0005631	chitosan layer of spore wall
GO:0005633	ascus lipid particle
GO:0005634	nucleus
GO:0005635	nuclear envelope
GO:0005637	nuclear inner membrane
GO:0005638	lamin filament
GO:0005639	integral to nuclear inner membrane
GO:0005640	nuclear outer membrane
GO:0005641	nuclear envelope lumen
GO:0005642	annulate lamellae
GO:0005643	nuclear pore
GO:0005652	nuclear lamina
GO:0005654	nucleoplasm
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	nuclear pre-replicative complex
GO:0005657	replication fork
GO:0005658	alpha DNA polymerase:primase complex
GO:0005662	DNA replication factor A complex
GO:0005663	DNA replication factor C complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005665	DNA-directed RNA polymerase II, core complex
GO:0005666	DNA-directed RNA polymerase III complex
GO:0005667	transcription factor complex
GO:0005668	RNA polymerase transcription factor SL1 complex
GO:0005669	transcription factor TFIID complex
GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
GO:0005672	transcription factor TFIIA complex
GO:0005673	transcription factor TFIIE complex
GO:0005674	transcription factor TFIIF complex
GO:0005675	holo TFIIH complex
GO:0005677	chromatin silencing complex
GO:0005680	anaphase-promoting complex
GO:0005681	spliceosomal complex
GO:0005682	U5 snRNP
GO:0005683	U7 snRNP
GO:0005684	U2-type spliceosomal complex
GO:0005685	U1 snRNP
GO:0005686	U2 snRNP
GO:0005687	U4 snRNP
GO:0005688	U6 snRNP
GO:0005689	U12-type spliceosomal complex
GO:0005690	U4atac snRNP
GO:0005694	chromosome
GO:0005697	telomerase holoenzyme complex
GO:0005700	polytene chromosome
GO:0005701	polytene chromosome chromocenter
GO:0005703	polytene chromosome puff
GO:0005704	polytene chromosome band
GO:0005705	polytene chromosome interband
GO:0005712	chiasma
GO:0005719	nuclear euchromatin
GO:0005720	nuclear heterochromatin
GO:0005721	centromeric heterochromatin
GO:0005722	beta-heterochromatin
GO:0005723	alpha-heterochromatin
GO:0005724	nuclear telomeric heterochromatin
GO:0005725	intercalary heterochromatin
GO:0005726	perichromatin fibrils
GO:0005727	extrachromosomal circular DNA
GO:0005729	2-micrometer circle DNA
GO:0005730	nucleolus
GO:0005731	nucleolus organizer region
GO:0005732	small nucleolar ribonucleoprotein complex
GO:0005736	DNA-directed RNA polymerase I complex
GO:0005737	cytoplasm
GO:0005739	mitochondrion
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005743	mitochondrial inner membrane
GO:0005744	mitochondrial inner membrane presequence translocase complex
GO:0005745	m-AAA complex
GO:0005746	mitochondrial respiratory chain
GO:0005747	mitochondrial respiratory chain complex I
GO:0005749	mitochondrial respiratory chain complex II
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
GO:0005757	mitochondrial permeability transition pore complex
GO:0005758	mitochondrial intermembrane space
GO:0005759	mitochondrial matrix
GO:0005760	gamma DNA polymerase complex
GO:0005761	mitochondrial ribosome
GO:0005762	mitochondrial large ribosomal subunit
GO:0005763	mitochondrial small ribosomal subunit
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0005766	primary lysosome
GO:0005767	secondary lysosome
GO:0005768	endosome
GO:0005769	early endosome
GO:0005770	late endosome
GO:0005771	multivesicular body
GO:0005773	vacuole
GO:0005774	vacuolar membrane
GO:0005775	vacuolar lumen
GO:0005776	autophagic vacuole
GO:0005777	peroxisome
GO:0005778	peroxisomal membrane
GO:0005779	integral to peroxisomal membrane
GO:0005780	extrinsic to intraperoxisomal membrane
GO:0005782	peroxisomal matrix
GO:0005783	endoplasmic reticulum
GO:0005784	Sec61 translocon complex
GO:0005785	signal recognition particle receptor complex
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0005790	smooth endoplasmic reticulum
GO:0005791	rough endoplasmic reticulum
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
GO:0005794	Golgi apparatus
GO:0005795	Golgi stack
GO:0005796	Golgi lumen
GO:0005797	Golgi medial cisterna
GO:0005798	Golgi-associated vesicle
GO:0005801	cis-Golgi network
GO:0005802	trans-Golgi network
GO:0005811	lipid particle
GO:0005813	centrosome
GO:0005814	centriole
GO:0005815	microtubule organizing center
GO:0005816	spindle pole body
GO:0005818	aster
GO:0005819	spindle
GO:0005821	intermediate layer of spindle pole body
GO:0005822	inner plaque of spindle pole body
GO:0005823	central plaque of spindle pole body
GO:0005824	outer plaque of spindle pole body
GO:0005825	half bridge of spindle pole body
GO:0005826	actomyosin contractile ring
GO:0005827	polar microtubule
GO:0005828	kinetochore microtubule
GO:0005829	cytosol
GO:0005832	chaperonin-containing T-complex
GO:0005833	hemoglobin complex
GO:0005834	heterotrimeric G-protein complex
GO:0005835	fatty acid synthase complex
GO:0005836	fatty-acyl-CoA synthase complex
GO:0005838	proteasome regulatory particle
GO:0005839	proteasome core complex
GO:0005840	ribosome
GO:0005844	polysome
GO:0005845	mRNA cap binding complex
GO:0005846	nuclear cap binding complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0005849	mRNA cleavage factor complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005854	nascent polypeptide-associated complex
GO:0005856	cytoskeleton
GO:0005858	axonemal dynein complex
GO:0005859	muscle myosin complex
GO:0005861	troponin complex
GO:0005862	muscle thin filament tropomyosin
GO:0005863	striated muscle myosin thick filament
GO:0005865	striated muscle thin filament
GO:0005868	cytoplasmic dynein complex
GO:0005869	dynactin complex
GO:0005871	kinesin complex
GO:0005872	minus-end kinesin complex
GO:0005873	plus-end kinesin complex
GO:0005874	microtubule
GO:0005875	microtubule associated complex
GO:0005876	spindle microtubule
GO:0005879	axonemal microtubule
GO:0005880	nuclear microtubule
GO:0005881	cytoplasmic microtubule
GO:0005882	intermediate filament
GO:0005883	neurofilament
GO:0005884	actin filament
GO:0005885	Arp2/3 protein complex
GO:0005886	plasma membrane
GO:0005887	integral to plasma membrane
GO:0005889	hydrogen:potassium-exchanging ATPase complex
GO:0005890	sodium:potassium-exchanging ATPase complex
GO:0005891	voltage-gated calcium channel complex
GO:0005892	acetylcholine-gated channel complex
GO:0005895	interleukin-5 receptor complex
GO:0005896	interleukin-6 receptor complex
GO:0005898	interleukin-13 receptor complex
GO:0005899	insulin receptor complex
GO:0005900	oncostatin-M receptor complex
GO:0005901	caveola
GO:0005902	microvillus
GO:0005903	brush border
GO:0005905	coated pit
GO:0005911	cell-cell junction
GO:0005912	adherens junction
GO:0005913	cell-cell adherens junction
GO:0005914	spot adherens junction
GO:0005915	zonula adherens
GO:0005916	fascia adherens
GO:0005917	nephrocyte diaphragm
GO:0005918	septate junction
GO:0005919	pleated septate junction
GO:0005920	smooth septate junction
GO:0005921	gap junction
GO:0005922	connexon complex
GO:0005923	tight junction
GO:0005924	cell-substrate adherens junction
GO:0005925	focal adhesion
GO:0005926	connecting hemi-adherens junction
GO:0005927	muscle tendon junction
GO:0005929	cilium
GO:0005930	axoneme
GO:0005932	microtubule basal body
GO:0005933	cellular bud
GO:0005934	cellular bud tip
GO:0005935	cellular bud neck
GO:0005937	mating projection
GO:0005938	cell cortex
GO:0005940	septin ring
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0005943	1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex
GO:0005944	1-phosphatidylinositol-4-phosphate 3-kinase, class IB complex
GO:0005945	6-phosphofructokinase complex
GO:0005946	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005948	acetolactate synthase complex
GO:0005950	anthranilate synthase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005952	cAMP-dependent protein kinase complex
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0005954	calcium- and calmodulin-dependent protein kinase complex
GO:0005955	calcineurin complex
GO:0005956	protein kinase CK2 complex
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex
GO:0005960	glycine cleavage complex
GO:0005962	mitochondrial isocitrate dehydrogenase complex (NAD+)
GO:0005964	phosphorylase kinase complex
GO:0005965	protein farnesyltransferase complex
GO:0005967	mitochondrial pyruvate dehydrogenase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005969	serine-pyruvate aminotransferase complex
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0008021	synaptic vesicle
GO:0008023	transcription elongation factor complex
GO:0008024	positive transcription elongation factor complex b
GO:0008043	intracellular ferritin complex
GO:0008074	guanylate cyclase complex, soluble
GO:0008076	voltage-gated potassium channel complex
GO:0008091	spectrin
GO:0008180	signalosome
GO:0008230	ecdysone receptor holocomplex
GO:0008231	repressor ecdysone receptor complex
GO:0008232	activator ecdysone receptor complex
GO:0008250	oligosaccharyltransferase complex
GO:0008274	gamma-tubulin ring complex
GO:0008275	gamma-tubulin small complex
GO:0008278	cohesin complex
GO:0008280	cohesin core heterodimer
GO:0008282	ATP-sensitive potassium channel complex
GO:0008287	protein serine/threonine phosphatase complex
GO:0008290	F-actin capping protein complex
GO:0008305	integrin complex
GO:0008328	ionotropic glutamate receptor complex
GO:0008352	katanin complex
GO:0008385	IkappaB kinase complex
GO:0008540	proteasome regulatory particle, base subcomplex
GO:0008541	proteasome regulatory particle, lid subcomplex
GO:0008622	epsilon DNA polymerase complex
GO:0008623	CHRAC
GO:0009274	peptidoglycan-based cell wall
GO:0009275	Gram-positive-bacterium-type cell wall
GO:0009276	Gram-negative-bacterium-type cell wall
GO:0009277	fungal-type cell wall
GO:0009279	cell outer membrane
GO:0009288	bacterial-type flagellum
GO:0009289	pilus
GO:0009295	nucleoid
GO:0009316	3-isopropylmalate dehydratase complex
GO:0009317	acetyl-CoA carboxylase complex
GO:0009319	cytochrome o ubiquinol oxidase complex
GO:0009325	nitrate reductase complex
GO:0009326	formate dehydrogenase complex
GO:0009328	phenylalanine-tRNA ligase complex
GO:0009329	acetate CoA-transferase complex
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzing)
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0009333	cysteine synthase complex
GO:0009336	sulfate adenylyltransferase complex (ATP)
GO:0009337	sulfite reductase complex (NADPH)
GO:0009338	exodeoxyribonuclease V complex
GO:0009340	DNA topoisomerase IV complex
GO:0009341	beta-galactosidase complex
GO:0009344	nitrite reductase complex [NAD(P)H]
GO:0009346	citrate lyase complex
GO:0009350	ethanolamine ammonia-lyase complex
GO:0009353	mitochondrial oxoglutarate dehydrogenase complex
GO:0009358	polyphosphate kinase complex
GO:0009360	DNA polymerase III complex
GO:0009361	succinate-CoA ligase complex (ADP-forming)
GO:0009366	enterobactin synthetase complex
GO:0009368	endopeptidase Clp complex
GO:0009376	HslUV protease complex
GO:0009379	Holliday junction helicase complex
GO:0009380	excinuclease repair complex
GO:0009382	imidazoleglycerol-phosphate synthase complex
GO:0009390	dimethyl sulfoxide reductase complex
GO:0009420	bacterial-type flagellum filament
GO:0009421	bacterial-type flagellum filament cap
GO:0009424	bacterial-type flagellum hook
GO:0009425	bacterial-type flagellum basal body
GO:0009501	amyloplast
GO:0009503	thylakoid light-harvesting complex
GO:0009504	cell plate
GO:0009505	plant-type cell wall
GO:0009506	plasmodesma
GO:0009507	chloroplast
GO:0009508	plastid chromosome
GO:0009509	chromoplast
GO:0009512	cytochrome b6f complex
GO:0009513	etioplast
GO:0009514	glyoxysome
GO:0009516	leucoplast
GO:0009517	PSII associated light-harvesting complex II
GO:0009521	photosystem
GO:0009522	photosystem I
GO:0009523	photosystem II
GO:0009524	phragmoplast
GO:0009526	plastid envelope
GO:0009527	plastid outer membrane
GO:0009528	plastid inner membrane
GO:0009531	secondary cell wall
GO:0009532	plastid stroma
GO:0009533	chloroplast stromal thylakoid
GO:0009534	chloroplast thylakoid
GO:0009535	chloroplast thylakoid membrane
GO:0009536	plastid
GO:0009537	proplastid
GO:0009543	chloroplast thylakoid lumen
GO:0009544	chloroplast ATP synthase complex
GO:0009547	plastid ribosome
GO:0009568	amyloplast starch grain
GO:0009569	chloroplast starch grain
GO:0009570	chloroplast stroma
GO:0009571	proplastid stroma
GO:0009574	preprophase band
GO:0009579	thylakoid
GO:0009654	oxygen evolving complex
GO:0009705	plant-type vacuole membrane
GO:0009706	chloroplast inner membrane
GO:0009707	chloroplast outer membrane
GO:0009782	photosystem I antenna complex
GO:0009783	photosystem II antenna complex
GO:0009840	chloroplastic endopeptidase Clp complex
GO:0009841	mitochondrial endopeptidase Clp complex
GO:0009842	cyanelle
GO:0009843	cyanelle thylakoid
GO:0009897	external side of plasma membrane
GO:0009898	internal side of plasma membrane
GO:0009921	auxin efflux carrier complex
GO:0009923	fatty acid elongase complex
GO:0009925	basal plasma membrane
GO:0009930	longitudinal side of cell surface
GO:0009941	chloroplast envelope
GO:0009986	cell surface
GO:0010005	cortical microtubule, transverse to long axis
GO:0010007	magnesium chelatase complex
GO:0010008	endosome membrane
GO:0010009	external side of endosome membrane
GO:0010168	ER body
GO:0010170	glucose-1-phosphate adenylyltransferase complex
GO:0010240	plastid pyruvate dehydrogenase complex
GO:0010282	senescence-associated vacuole
GO:0010287	plastoglobule
GO:0010319	stromule
GO:0010339	external side of cell wall
GO:0010368	chloroplast isoamylase complex
GO:0010369	chromocenter
GO:0010370	perinucleolar chromocenter
GO:0010445	nuclear dicing body
GO:0010494	cytoplasmic stress granule
GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)
GO:0012505	endomembrane system
GO:0012506	vesicle membrane
GO:0012507	ER to Golgi transport vesicle membrane
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0012511	monolayer-surrounded lipid storage body
GO:0014069	postsynaptic density
GO:0014701	junctional sarcoplasmic reticulum membrane
GO:0014704	intercalated disc
GO:0014731	spectrin-associated cytoskeleton
GO:0014801	longitudinal sarcoplasmic reticulum
GO:0014802	terminal cisterna
GO:0014804	terminal cisterna lumen
GO:0015030	Cajal body
GO:0015629	actin cytoskeleton
GO:0015630	microtubule cytoskeleton
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0016006	Nebenkern
GO:0016007	mitochondrial derivative
GO:0016010	dystrophin-associated glycoprotein complex
GO:0016011	dystroglycan complex
GO:0016012	sarcoglycan complex
GO:0016013	syntrophin complex
GO:0016014	dystrobrevin complex
GO:0016020	membrane
GO:0016021	integral to membrane
GO:0016023	cytoplasmic membrane-bounded vesicle
GO:0016027	inaD signaling complex
GO:0016028	rhabdomere
GO:0016029	subrhabdomeral cisterna
GO:0016035	zeta DNA polymerase complex
GO:0016222	procollagen-proline 4-dioxygenase complex
GO:0016234	inclusion body
GO:0016235	aggresome
GO:0016272	prefoldin complex
GO:0016281	eukaryotic translation initiation factor 4F complex
GO:0016282	eukaryotic 43S preinitiation complex
GO:0016323	basolateral plasma membrane
GO:0016324	apical plasma membrane
GO:0016327	apicolateral plasma membrane
GO:0016328	lateral plasma membrane
GO:0016342	catenin complex
GO:0016363	nuclear matrix
GO:0016442	RNA-induced silencing complex
GO:0016456	X chromosome located dosage compensation complex, transcription activating
GO:0016459	myosin complex
GO:0016460	myosin II complex
GO:0016461	unconventional myosin complex
GO:0016469	proton-transporting two-sector ATPase complex
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0016507	mitochondrial fatty acid beta-oxidation multienzyme complex
GO:0016513	core-binding factor complex
GO:0016514	SWI/SNF complex
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0016533	cyclin-dependent protein kinase 5 holoenzyme complex
GO:0016580	Sin3 complex
GO:0016581	NuRD complex
GO:0016586	RSC complex
GO:0016589	NURF complex
GO:0016590	ACF complex
GO:0016591	DNA-directed RNA polymerase II, holoenzyme
GO:0016592	mediator complex
GO:0016593	Cdc73/Paf1 complex
GO:0016600	flotillin complex
GO:0016602	CCAAT-binding factor complex
GO:0016604	nuclear body
GO:0016605	PML body
GO:0016607	nuclear speck
GO:0016610	nitrogenase complex
GO:0016914	follicle-stimulating hormone complex
GO:0016935	glycine-gated chloride channel complex
GO:0016938	kinesin I complex
GO:0016939	kinesin II complex
GO:0016942	insulin-like growth factor binding protein complex
GO:0017053	transcriptional repressor complex
GO:0017054	negative cofactor 2 complex
GO:0017059	serine C-palmitoyltransferase complex
GO:0017071	intracellular cyclic nucleotide activated cation channel complex
GO:0017086	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex
GO:0017087	mitochondrial processing peptidase complex
GO:0017090	meprin A complex
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
GO:0017102	methionyl glutamyl tRNA synthetase complex
GO:0017109	glutamate-cysteine ligase complex
GO:0017117	single-stranded DNA-dependent ATP-dependent DNA helicase complex
GO:0017119	Golgi transport complex
GO:0017122	protein N-acetylglucosaminyltransferase complex
GO:0017133	mitochondrial electron transfer flavoprotein complex
GO:0017146	N-methyl-D-aspartate selective glutamate receptor complex
GO:0017177	glucosidase II complex
GO:0018444	translation release factor complex
GO:0018995	host
GO:0019005	SCF ubiquitin ligase complex
GO:0019008	molybdopterin synthase complex
GO:0019012	virion
GO:0019013	viral nucleocapsid
GO:0019015	viral genome
GO:0019028	viral capsid
GO:0019030	icosahedral viral capsid
GO:0019031	viral envelope
GO:0019033	viral tegument
GO:0019038	provirus
GO:0019183	histamine-gated chloride channel complex
GO:0019185	snRNA-activating protein complex
GO:0019197	phosphoenolpyruvate-dependent sugar phosphotransferase complex
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0019774	proteasome core complex, beta-subunit complex
GO:0019812	Type I site-specific deoxyribonuclease complex
GO:0019814	immunoglobulin complex
GO:0019815	B cell receptor complex
GO:0019866	organelle inner membrane
GO:0019867	outer membrane
GO:0019897	extrinsic to plasma membrane
GO:0019898	extrinsic to membrane
GO:0019907	cyclin-dependent protein kinase activating kinase holoenzyme complex
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex
GO:0019910	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0020002	host cell plasma membrane
GO:0020003	symbiont-containing vacuole
GO:0020004	symbiont-containing vacuolar space
GO:0020005	symbiont-containing vacuole membrane
GO:0020007	apical complex
GO:0020008	rhoptry
GO:0020009	microneme
GO:0020011	apicoplast
GO:0020015	glycosome
GO:0020016	flagellar pocket
GO:0020018	flagellar pocket membrane
GO:0020020	food vacuole
GO:0020022	acidocalcisome
GO:0020023	kinetoplast
GO:0020025	subpellicular microtubule
GO:0020026	merozoite dense granule
GO:0020030	infected host cell surface knob
GO:0020036	Maurer's cleft
GO:0020039	pellicle
GO:0022623	proteasome-activating nucleotidase complex
GO:0022624	proteasome accessory complex
GO:0022625	cytosolic large ribosomal subunit
GO:0022626	cytosolic ribosome
GO:0022627	cytosolic small ribosomal subunit
GO:0030008	TRAPP complex
GO:0030014	CCR4-NOT complex
GO:0030015	CCR4-NOT core complex
GO:0030016	myofibril
GO:0030017	sarcomere
GO:0030018	Z disc
GO:0030027	lamellipodium
GO:0030054	cell junction
GO:0030055	cell-substrate junction
GO:0030056	hemidesmosome
GO:0030057	desmosome
GO:0030061	mitochondrial crista
GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex
GO:0030075	bacterial thylakoid
